record,yr,mo,dy,date,time,st,mag,inj,fat,slat,slon,elat,elon,len,wid
1,1950,4,27,4/27/1950,16:00:00,SC,1,0,0,33.07,-80,0,0,0.7,37
2,1950,5,12,5/12/1950,14:00:00,NC,1,0,0,35.75,-77.42,0,0,2,10
3,1950,5,12,5/12/1950,17:00:00,NC,1,0,0,35.73,-78.4,0,0,1,200
4,1950,5,12,5/12/1950,17:00:00,NC,0,0,0,35.73,-78.4,0,0,1,200
5,1950,5,14,5/14/1950,17:00:00,NC,1,0,0,35.3,-79.8,35.33,-79.75,3.8,50
6,1950,5,14,5/14/1950,17:30:00,NC,2,5,0,35,-80.68,0,0,2,10
7,1950,5,31,5/31/1950,15:30:00,NC,1,0,0,35.42,-77.25,0,0,0.1,10
8,1950,7,26,7/26/1950,15:30:00,NC,1,0,0,35.53,-77.4,0,0,0.1,10
9,1950,7,27,7/27/1950,16:20:00,NC,1,0,0,35.4,-80.57,0,0,0.1,10
10,1950,10,9,10/9/1950,2:15:00,NC,3,3,0,34.17,-78.6,0,0,2,880
11,1951,6,9,6/9/1951,17:00:00,NC,1,0,0,36,-78.33,36.03,-78.28,3.8,30
12,1951,6,13,6/13/1951,15:30:00,NC,1,0,0,34.4,-77.53,0,0,1,20
13,1951,6,24,6/24/1951,14:00:00,SC,1,0,0,33.32,-81.13,0,0,0.1,10
14,1951,7,6,7/6/1951,11:00:00,NC,1,0,0,33.92,-78.23,0,0,0.1,10
15,1951,8,9,8/9/1951,11:00:00,NC,2,0,0,35.75,-81.33,0,0,0.5,100
16,1952,4,5,4/5/1952,0:45:00,NC,2,0,0,35.8,-78.88,35.9,-78.88,6.9,300
17,1952,5,10,5/10/1952,11:00:00,NC,2,6,0,36.1,-77.25,0,0,0.1,10
18,1952,5,10,5/10/1952,14:00:00,SC,3,4,2,34.8,-82.25,34.8,-81.85,22.7,83
19,1952,5,20,5/20/1952,11:00:00,NC,2,2,0,35.47,-76.38,0,0,1.5,33
20,1952,6,12,6/12/1952,19:00:00,SC,1,0,0,33.42,-81.42,0,0,2,167
21,1952,7,23,7/23/1952,11:00:00,NC,2,0,0,36.25,-77.75,0,0,0.1,10
22,1952,8,31,8/31/1952,11:00:00,NC,1,0,0,36.25,-80.17,0,0,0.1,10
23,1952,9,17,9/17/1952,11:30:00,NC,3,0,0,35.95,-75.6,0,0,1,50
24,1952,11,19,11/19/1952,22:37:00,NC,2,1,0,36.43,-78.72,0,0,1,50
25,1953,1,8,1/8/1953,16:15:00,SC,2,2,0,34.02,-79.77,34.12,-79.65,9.6,150
26,1953,3,15,3/15/1953,20:00:00,NC,3,1,0,35.77,-78.1,35.75,-77.57,30.1,27
27,1953,4,16,4/16/1953,11:00:00,NC,2,0,0,35.57,-77.18,0,0,2,100
28,1953,4,30,4/30/1953,18:00:00,NC,1,0,0,35,-77.67,0,0,0.1,10
29,1953,5,31,5/31/1953,16:30:00,SC,1,0,0,32.95,-80.47,32.97,-80.4,4.3,200
30,1953,6,1,6/1/1953,15:30:00,SC,1,0,0,33.5,-81.03,33.52,-80.98,3,67
31,1953,8,7,8/7/1953,1:00:00,SC,1,0,0,33.37,-79.3,33.4,-79.22,5.4,100
32,1954,2,16,2/16/1954,19:02:00,SC,1,0,0,35.07,-81.65,0,0,1,33
33,1954,2,21,2/21/1954,9:50:00,NC,1,0,0,35.2,-80,35.3,-79.73,16.6,27
34,1954,6,16,6/16/1954,12:30:00,NC,2,1,0,36.17,-79.8,36.2,-79.7,6.1,100
35,1954,6,23,6/23/1954,16:15:00,NC,1,0,0,34.22,-77.78,0,0,2,27
36,1954,6,27,6/27/1954,14:12:00,NC,1,0,0,35.57,-77.05,0,0,1,50
37,1954,8,17,8/17/1954,14:30:00,NC,2,0,0,35.78,-79.55,0,0,2.1,110
38,1954,8,18,8/18/1954,15:00:00,NC,2,0,0,35.67,-81.2,35.73,-81.15,5.4,50
39,1954,9,20,9/20/1954,13:00:00,NC,2,4,0,35.72,-77.9,0,0,0.5,100
40,1954,11,2,11/2/1954,13:30:00,NC,2,0,0,34.37,-77.7,0,0,0.1,27
41,1954,11,28,11/28/1954,22:30:00,NC,1,0,0,35.4,-80.6,0,0,2,500
42,1955,3,13,3/13/1955,21:00:00,SC,2,10,2,33.85,-81.67,33.88,-81.5,9.9,133
43,1955,3,16,3/16/1955,14:30:00,NC,2,1,1,35.6,-77.97,35.65,-77.87,6.6,500
44,1955,4,6,4/6/1955,12:30:00,SC,1,0,0,34.7,-80.9,0,0,1.5,100
45,1955,5,5,5/5/1955,17:00:00,NC,1,0,0,36.27,-76.4,0,0,0.1,10
46,1955,5,30,5/30/1955,13:30:00,NC,1,0,0,34.75,-77.42,0,0,0.1,27
47,1955,6,11,6/11/1955,10:30:00,SC,0,0,0,34.02,-81,0,0,0.8,50
48,1955,6,11,6/11/1955,15:00:00,NC,2,0,0,35.77,-77.52,35.88,-77.2,19.4,200
49,1955,6,23,6/23/1955,14:00:00,SC,0,0,0,34.5,-82.67,0,0,0.2,23
50,1955,6,25,6/25/1955,14:45:00,NC,1,0,0,36.2,-76.5,0,0,0.1,10
51,1955,8,10,8/10/1955,13:30:00,SC,1,5,0,33.72,-79.05,0,0,0.3,200
52,1955,8,10,8/10/1955,17:00:00,SC,2,0,0,34.37,-79.43,34.33,-79.28,8.8,77
53,1955,8,10,8/10/1955,17:30:00,NC,1,1,0,34.67,-78.07,0,0,1,50
54,1955,12,4,12/4/1955,16:30:00,SC,2,0,0,34.38,-79.6,0,0,0.8,100
55,1956,2,20,2/20/1956,6:20:00,SC,1,1,0,33.43,-80.03,0,0,0.5,10
56,1956,3,8,3/8/1956,11:00:00,NC,1,0,0,35.75,-82.25,0,0,0.2,27
57,1956,3,18,3/18/1956,13:30:00,NC,1,0,0,35.4,-77.4,0,0,1,40
58,1956,3,18,3/18/1956,14:30:00,NC,2,0,0,35.87,-78.8,0,0,0.3,100
59,1956,3,18,3/18/1956,14:30:00,NC,1,1,0,35.7,-78.6,0,0,0.3,50
60,1956,3,18,3/18/1956,14:45:00,NC,1,0,0,36.25,-78.3,0,0,1,50
61,1956,3,18,3/18/1956,15:30:00,NC,0,0,0,35.3,-78,0,0,1,30
62,1956,3,18,3/18/1956,17:00:00,NC,1,1,0,35.42,-76.32,0,0,1,150
63,1956,4,6,4/6/1956,12:30:00,SC,2,1,0,34.13,-82.38,34.2,-82.33,5.4,100
64,1956,4,6,4/6/1956,13:00:00,NC,1,0,0,35.2,-81.3,35.2,-80.3,56.4,100
65,1956,4,6,4/6/1956,15:30:00,NC,2,0,0,35.5,-79.07,35.55,-78.82,14.4,100
66,1956,5,3,5/3/1956,16:00:00,SC,1,0,0,32.75,-81.22,32.78,-81.05,10.1,50
67,1956,6,25,6/25/1956,13:30:00,SC,1,0,0,34.47,-79.4,0,0,3,33
68,1956,8,2,8/2/1956,11:45:00,NC,1,0,0,35.87,-75.7,0,0,0.1,10
69,1956,8,13,8/13/1956,15:15:00,SC,1,0,0,34.58,-82.62,0,0,0.3,83
70,1956,9,25,9/25/1956,9:00:00,SC,0,0,0,32.17,-80.72,0,0,0.5,37
71,1957,1,29,1/29/1957,16:15:00,NC,1,0,0,35.77,-80.93,0,0,0.6,150
72,1957,4,5,4/5/1957,6:45:00,SC,2,1,0,33.83,-81.53,34.03,-81.25,21.3,40
73,1957,4,5,4/5/1957,7:14:00,SC,1,0,0,34.2,-81.53,34.22,-81.48,3.3,100
74,1957,4,5,4/5/1957,15:30:00,NC,1,0,0,36.17,-76.1,36.2,-76,6.1,37
